Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
Unbox Robotics,2019,Bangalore,Technology,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First",1200000.0,Pre-Series
upGrad,2015,Mumbai,Education,UpGrad is an online higher education platform.,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management",120000000.0,Unknown
Lead School,2012,Mumbai,Education,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",30000000.0,Later Stage
Bizongo,2015,Mumbai,E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital",51000000.0,Series C
FypMoney,2021,Gurugram,Finance,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000.0,Seed
Urban Company,2014,New Delhi,Services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia","Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,188000000.0,Unknown
Comofi Medtech,2018,Bangalore,Healthcare,Comofi Medtech is a healthcare robotics startup.,Gururaj KB,"CIIE.CO, KIIT-TBI",200000.0,Unknown
Qube Health,2016,Mumbai,Healthcare,India's Most Respected Workplace Healthcare Management Company,Gagan Kapur,Inflection Point Ventures,3500000.0,Pre-Series
Vitra.ai,2020,Bangalore,Technology,Vitra.ai is an AI-based video translation platform,Akash Nidhi PS,Inflexor Ventures,3500000.0,Unknown
Taikee,2010,Mumbai,E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.","Nidhi Ramachandran, Sachin Chhabra",Inflection Point Ventures,1000000.0,Unknown
Fitterfly,2016,Mumbai,Healthcare,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",3000000.0,Pre-Series
FreeStand,2017,New Delhi,Services,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park",100000.0,Unknown
MyDentalPlan,2014,Bangalore,Healthcare,My Dental Plan provides dental care packages and services.,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,700000.0,Seed
Freyr Energy,2014,Hyderabad,Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners",2000000.0,Unknown
DealShare,2018,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",9000000.0,Unknown
Tessolve,1993,Bangalore,Retail,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.","P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital,40000000.0,Unknown
Smart Joules,2014,New Delhi,Energy,Smart Joules is an energy management company.,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",49000000.0,Unknown
ORAI,2020,Bangalore,Technology,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,400000.0,Pre-Series
ixamBee,2016,New Delhi,Education,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",300000.0,Seed
CoinSwitch Kuber,2017,Bangalore,Finance,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",25000000.0,Series B
Razorpay,2014,Bangalore,Finance,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",160000000.0,Later Stage
Uable,2020,Bangalore,Education,Uable offers role based programmes to empower children to explore different domains.,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",3500000.0,Seed
ZFW Hospitality,2015,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",150000.0,Pre-Seed
Optimized Electrotech,2017,Ahmadabad,Transportation & Logistics,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,1800000.0,Pre-Series
Northern Arc,2008,Chennai,Finance,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,Kshama Fernandes,"Kotak Mahindra Bank, FMO",5000000.0,Unknown
Chara,2019,Bangalore,Technology,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000.0,Seed
Sirona Hygiene,2015,New Delhi,Healthcare,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",3000000.0,Series A
Pristyn Care,2018,Gurugram,Healthcare,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",53000000.0,Later Stage
TrulyMadly,2013,New Delhi,Services,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor",2000000.0,Pre-Series
Vidyakul,2018,Bangalore,Education,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV",500000.0,Seed
Jambox Games,2021,Bangalore,Media & Entertainment,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Ravi Vyas,Inflection Point Ventures,1100000.0,Seed
Miko,2015,Mumbai,Technology,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Chiratae Ventures, YourNest Venture Capital",6000000.0,Unknown
SuperK,2019,Small Towns,Retail,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVE VC,800000.0,Seed
TagZ Foods,2019,Bangalore,Food & Beverages,TagZ Foods is a supplier of snacks and food products.,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000.0,Pre-Series
Fuel Buddy,2017,New Delhi,Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Aditya Singh,Jaipuria Family Office,1000000.0,Unknown
M1xchange,2017,Gurugram,Finance,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,Amazon,10000000.0,Unknown
Spintly,2017,Goa,Technology,Wireless cloud based access control platform,Rohin Parkar,Riso Capital,500000.0,Unknown
EF Polymer,2018,Rajsamand,Agriculture,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTG Ventures,200000.0,Unknown
boAt,2016,New Delhi,Retail,boAt is a consumer electronics and lifestyle company.,"Aman Gupta, Sameer Mehta","Qualcomm Ventures, Warburg Pincus",6000000.0,Unknown
TruNativ,2019,Mumbai,Food & Beverages,TruNativ Foods & Beverages Pvt Ltd,"Pranav Malhotra, Mamta Malhotra",9Unicorns,3500000.0,Seed
iBus,2010,Bangalore,Technology,iBus Networks is an in-building connectivity solutions company,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,21000000.0,Unknown
Puresh Daily,2019,Ranchi,Retail,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners",100000.0,Seed
LearnVern,2016,Ahmadabad,Education,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",Inflection Point Ventures,1000000.0,Unknown
LimeChat,2020,Faridabad,Technology,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",7500000.0,Seed
Dybo,2019,Bangalore,Technology,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,100000.0,Seed
moEVing,2021,Gurugram,Transportation & Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",VIKASH MISHRA,Inflection Point Ventures,1000000.0,Seed
WeWork India,2017,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Karan Virwani,Inflection Point Ventures,26000000.0,Unknown
Solethreads,2018,Gurugram,Lifestyle,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,Vikram Iyer,"DSG Consumer Partners, Saama Capital",1000000.0,Series A
Beldara,2018,Mumbai,E-commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000.0,Unknown
CredFlow,2020,New Delhi,Finance,CredFlow provides financial solutions to automate your cashflows.,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,Seed
Do Your Thng,2018,Gurugram,Retail,World's first shared economy platform for digital assets.,Ankit Agarwal,"Angelbay Holdings, Faad Network",1500000.0,Unknown
Oye Rickshaw,2017,Gurugram,Transportation & Logistics,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures",3000000.0,Unknown
Legitquest,2017,New Delhi,Technology,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge",600000.0,Unknown
Swiggy,2014,Bangalore,Food & Beverages,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Carmignac, Falcon Edge Capital",800000000.0,Unknown
AntWak,2019,Bangalore,Education,AntWak provides a video platform for e-learning service.,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman","Vaibhav Domkundwar, Kunal Shah",3500000.0,Seed
PlayShifu,2016,Bangalore,Education,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",17000000.0,Series B
Pitstop,2015,Bangalore,Manufacturing,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",3500000.0,Series A
Lendingkart,1999,Gujarat,Finance,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings",15000000.0,Debt Financing
CRED,2018,Bangalore,Finance,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",215000000.0,Later Stage
Karnival,2015,Bangalore,Technology,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,http://100x.vc/,2500000.0,Seed
PharmEasy,2015,Mumbai,Healthcare,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","Dharmil Sheth, Dhaval Shah, Mikhil Innani","TPG Growth, Caisse de Depot et Placement du Quebec",350000000.0,Later Stage
WESS,1989,Mumbai,Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Hitesh Doshi,Centrum Financial Services,2000000.0,Seed
ShopSe,2020,Mumbai,Finance,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT",5500000.0,Unknown
Fantasy Akhada,2020,Gurugram,Sports,Fantasy Akhada offers fantasy sports platform for cricket and football.,Amit Purohit,Harsha Bhogle,600000.0,Unknown
Rage Coffee,2018,New Delhi,Food & Beverages,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,Bharat Sethi,"GetVantage, Prakash Katama",3500000.0,Pre-Series
Groww,2017,Bangalore,Finance,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund",83000000.0,Later Stage
Avanti Finance,2016,Bangalore,Finance,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,"Ratan Tata, Nandan Nilekani",Michael & Susan Dell Foundation,26000000.0,Series A
Kudos,2014,Pune,Finance,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Naresh Vigh,Marquee fintech founders,3500000.0,Pre-Series
OfBusiness,2015,Gurugram,Finance,OfBusiness is a financing platform that offers smart financing to SMEs.,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Falcon Edge India, Norwest Venture Partners",110000000.0,Unknown
Superpro.ai,2019,Bangalore,Media & Entertainment,Enabling independent professionals to bring offline consulting online with AI,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar","SOSV, Omphalos Ventures India",3000000.0,Seed
ShareChat,2015,Bangalore,Media & Entertainment,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Twitter Ventures, Pawan Munjal",500000000.0,Unknown
WiT-ACE,2020,Gurugram,Education,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",Anuranjita Kumar,CitiusTech,1000000.0,Seed
Spinny,2015,Gurugram,Retail,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments",65000000.0,Series C
Alteria Capital,2018,Mumbai,Finance,Alteria Capital is a Venture debt firm .,Vinod Murali,Inflection Point Ventures,150000000000.0,Debt Financing
Safexpay,2017,Thane,Finance,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,Ravi Gupta,"T Choithrams BVI, Ardor",6000000.0,Unknown
PumPumPum,2018,Gurugram,Real Estate,Pumpumpum is a car rental company.,"Tarun Lawadia, Sameer Kalra","Kogta Financial India Limited, ICICI Bank",700000.0,Pre-Series
Speciale Invest,2017,Bangalore,Finance,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,"Vishesh Rajaram, Arjun Rao",Inflection Point Ventures,10000000.0,Unknown
Eunimart,2016,Hyderabad,E-commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt",700000.0,Pre-Series
Meesho,2015,Bangalore,E-commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",300000000.0,Unknown
CareerLabs,2019,Bangalore,Education,"Aim to help students become future-ready, setting them on a path to success that suits them best.","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000.0,Unknown
Uable,2020,Bangalore,Education,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Saurabh Saxena,"JAFCO Asia, Chiratae Ventures",35000000.0,Pre-Series
Zoko,2016,Bangalore,Technology,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.","Arjun Paul, Aromal Sivadasan",Y Combinator,140000000.0,Seed
GetWork,2019,Gurugram,Human Resources,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,Artha Venture Fund,200000.0,Seed
Easebuzz,2015,Pune,E-commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,Rohit Prasad,"Jitendra Gupta, Amrish Rau",4000000.0,Series A
Chingari,2018,Bangalore,Media & Entertainment,Chingari operates as a short video platform.,Sumit Ghosh,"FJ Labs, Brian Norgard",13000000.0,Unknown
DusMinute,2017,Bangalore,Retail,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,Indian Angel Network,1100000.0,Pre-Series
Onsurity,2020,Bangalore,Healthcare,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Kulin Shah, Yogesh Agarwal","Jitendra Gupta, Harsh Shah",3500000.0,Unknown
Karbon Card,2019,Bangalore,Finance,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,3500000.0,Unknown
Factors.AI,2020,Bangalore,Technology,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Aravind Murthy, Praveen Das, Srikrishna Swaminathan","Elevation Partners, Emergent Ventures",2000000.0,Unknown
Elevar,2017,Mumbai,Sports,"A Revolutionary Sports Brand, Engineered For Those Who Want More.","Kunal Joshi, Pranav Marwah","Kalaari Capital, Dream Capital",2000000.0,Unknown
Studio Sirah,2020,Bangalore,Media & Entertainment,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,"Abhaas Shah, Prateek Shah",Lumikai,800000.0,Unknown
OTO Capital,2018,Mumbai,Finance,The Future Of Vehicle Ownership!,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,6000000.0,Unknown
1Bridge,2016,Bangalore,Retail,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village","Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000.0,Unknown
Skeps,2018,Gurugram,Finance,"A blockchain products company, developing a proprietary product in the FinTech space","Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000.0,Unknown
Curefoods,2020,Bangalore,Food & Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000.0,Unknown
TartanSense,2015,Bangalore,Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000.0,Unknown
Bewakoof,2012,Mumbai,Lifestyle,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,8000000.0,Unknown
Kirana247,2018,New Delhi,Transportation & Logistics,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",Inflection Point Ventures,1000000.0,Unknown
FanPlay,2020,Bangalore,Media & Entertainment,A real money game app specializing in trivia games,YC W21,"Pritesh Kumar, Bharat Gupta",3500000.0,Unknown
NeoDocs,2020,Mumbai,Healthcare,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",3500000.0,Unknown
IsGoingOnline,2015,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000.0,Unknown
Camp K12,2010,Gurugram,Education,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000.0,Unknown
Elda Health,2020,Bangalore,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000.0,Unknown
Sporjo,2020,Mumbai,Sports,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,Unknown
Advantage Club,2014,Mumbai,Human Resources,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000.0,Unknown
SuperGaming,2017,Pune,Media & Entertainment,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,Unknown
Ruptok,2020,New Delhi,Finance,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,1000000.0,Unknown
O’ Be Cocktails,2019,Bangalore,Retail,India’s first and only Ready to Drink Premium Cocktails.,Nitesh Prakash,"First Cheque, Letsventure",400000.0,Unknown
Zetwerk,2018,Bangalore,Engineering,ZETWERK is a universal manufacturing network powered by new-age technology.,"Srinath Ramakkrushnan, Amrit Acharya",Inflection Point Ventures,150000000.0,Later Stage
AppsForBharat,2020,Bangalore,Services,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",Prashant Sachan,"Sequoia Capital India, BEENEXT",4000000.0,Seed
Imagimake,2011,Mumbai,Retail,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.","Disha Katharani, Ravi Jalan",Velocity,3500000.0,Unknown
Khatabook,2018,Bangalore,Finance,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",100000000.0,Series C
Smytten,2015,Gurugram,Retail,India's largest premium discovery and trial platform!,"Swagat Sarangi, Siddhartha Nangia.",Fireside Ventures,6000000.0,Series A
Syook,2016,Bangalore,Technology,Syook is building the next generation enterprise IOT platform.,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan","Inflection Point Ventures, ONGC",1000000.0,Series A
Akudo,2020,Bangalore,Finance,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi","Y Combinator, Incubate Fund India",3500000.0,Pre-Seed
NOTO,2019,Mumbai,Retail,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures",500000.0,Pre-Series
Lumiq,2013,Noida,Technology,Help enterprises monetize their data and reinvent the digital transformation journey.,Shoaib Mohammad,Info Edge Ventures,2000000.0,Seed
CommerceUp,2018,Gurugram,Technology,Grow and manage ecommerce business from single dashboard,Piyush Pathak,NB Ventures,3500000.0,Seed
Breathe Well-being,2015,Gurugram,Healthcare,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.","Rohan Verma, Aditya Kaicker",Accel,5500000.0,Series A
Hike,2012,New Delhi,Technology,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,Kavin Bharti Mittal,"Binny Bansal, Kunal Shah",3500000.0,Unknown
House of Kieraya,2013,Bangalore,Lifestyle,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",Ajith Mohan Karimpana,TradeCred,15000000.0,Unknown
goEgoNetwork,2019,Pune,Manufacturing,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.","Dheeman Kadam, Sayantan Chakraborti",Inflection Point Ventures,2000000.0,Unknown
Probus,2017,New Delhi,Technology,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.","Anand Singh, Ankit Vaish, Sunny Kumar Jadoon",Unicorn India Ventures,500000.0,Pre-Series
DrinkPrime,2016,Bangalore,Retail,India's Smartest Water Purifiers and are redefining water purifier ownership.,Anil Kejriwal,"UC Inclusive Credit, Western Capital",1000000.0,Unknown
Smart Express,2020,Mumbai,Transportation & Logistics,India’s Most Innovative and Awarded Express Logistics Company.,Yogesh Dhingra,"IIFL India Private Equity Fund, Smiti Holding & Trading Company",10000000.0,Seed
Smallcase,2015,Bangalore,Finance,Smallcase is a new way to invest in the stock markets.,"Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",Faering Capital,40000000.0,Series C
SATYA MicroCapital,2017,New Delhi,Finance,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,Vivek Tiwari,"responsAbility Investments, Blue Orchard",10000000.0,Unknown
Snack Amor,2014,Mumbai,Food & Beverages,"Snack Amor aims is to offer a healthy, natural and tasty snacking experience to its customers.",Deepak Grover,"Sanchit Agarwal, Sujan Sinha, Michael Cooke",3500000.0,Unknown
Postman,2014,Bangalore,Technology,Postman is the collaboration platform for API development.,"Abhinav Asthana, Abhijit Kane, Ankit Sobti","CRV, Nexus Venture Partners",225000000.0,Later Stage
Hashnode,2016,Bangalore,Technology,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,"Syed Fazle Rahman, Sandeep Panda","Salesforce Ventures, Sierra Ventures, Sequoia Capital India’s Surge",6700000.0,Series A
RACEnergy,2018,Hyderabad,Manufacturing,RACEnergy is working to power the future of mobility through clean and efficient technologies.,Arun Sreyas Reddy,"Micelio Fund, growX ventures",1300000.0,Seed
BharatPe,2018,New Delhi,Finance,The vision to make financial inclusion a reality for Indian merchants.,"Ashneer Grover, Shashvat Nakrani","IIFL Wealth, Asset Management, Northern Arc Capital",20000000.0,Debt Financing
Gyde,2019,Pune,Technology,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.","Prasanna Vaidya, Shubham Deshmukh","Better Capital, Ashish Achrekar",250000.0,Seed
BatteryPool,2018,Pune,Manufacturing,Building the Operating System for managing Electric Vehicles in fleets.,Ashwin Shankar,IAN,3500000.0,Seed
AgNext,2016,Chandigarh,Agriculture,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Taranjeet Singh Bhamra,Alpha Wave Incubation,21000000.0,Series A
Xpresslane,2019,Bangalore,Technology,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.",Ashwin Koorakula,"Point One Capital, Yatra Angel Network (YAN), Opus Consulting, Manipal Technologies.",400000.0,Pre-Seed
LoanKuber,2016,New Delhi,Finance,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,Saurabh Nagpal,Inflection Point Ventures,1200000.0,Pre-Series
OYO,2013,Gurugram,Hospitality,OYO is a global travel tech company that connects its patrons and guests.,Ritesh Agarwal,Microsoft,5000000.0,Later Stage
Rapido,2015,Bangalore,Technology,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,"Aravind Sanka, Pavan Guntupalli, SR Rishikesh","Shell Ventures, Yamaha, Kunal Shah",52000000.0,Unknown
YPay,2017,Noida,Finance,YPay Card is the new way to manage money.,Dr Navneet Gupta,We Founder Circle,400000.0,Unknown
