Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
Meesho,2015,Bangalore,E-commerce,Meesho is India’s largest marketplace for longtail products.,"Sanjeev Barnwal, Vidit Aatrey","Fidelity, B Capital",570000000.0,Unknown
PumPumPum,2018,Gurugram,Manufacturing,Pumpumpum is empowering millennials with a smart car subscription model. We provide monthly subscription of pre-owned cars at affordable rates.,Tarun Lawadia,LC Nueva AIF,3500000.0,Unknown
Cusmat,2016,Hyderabad,Technology,CUSMAT is India’s largest immersive skilling and training platform.,"Abhinav Ayan, Anirban Jyoti Chakravorty",We Founder Circle,100000.0,Pre-Series
Homeville,2017,Mumbai,Technology,A technology company focused on helping people buy their first home with down payment assistance at zero interest cost.,Madhusudan Sharma,"9Unicorns, Varanium NexGen Fund",7000000.0,Unknown
Coinshift,2021,Chandigarh,Technology,CoinShift helps businesses and decentralised autonomous organisations (DAO's) manage their crypto easily,Tarun Gupta,"Sequoia Capital, Sandeep Nailwal",2500000.0,Seed
Strip Finance,2021,Hyderabad,Finance,Collateralised NFT & DeFi Liquidity Protocol With Interest Rate Discovery.,"Varun Satyam, Yuvraj Chhibber, Yash Jejani","Old Fashion Research, Nothing Research, Tenzor capital",400000.0,Seed
Kolo,2020,Bangalore,Real Estate,Home construction app for finding ideas and service providers near you,"Pranav Garg, Jery Althaf",Better Capital,550000.0,Pre-Seed
Chqbook,2017,Gurugram,Finance,"Chqbook.com is India’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.","Vipul Sharma, Rajat Kumar, Sachin Arora","Aavishkaar Capital, Rajiv Dadlani Group",5000000.0,Series A
My3DSelfie,2016,Guwahati,Retail,World's first to create 3d figurine from photos,Harsha P Deka,"NEVF, AccelNest",3500000.0,Pre-Series
EV Plugs,2021,Gurugram,Technology,EV charging station aggregator platform,"Manish Narang, Kapil Narang, Ashwani Arora",Inflection Point Ventures,150000.0,Unknown
Rulezero,2019,Bangalore,Finance,"Rulezero is a legal/fintech startup reimagining private markets by building an intelligent platform that enables stakeholder participation and capital flow in a transparent, efficient and compliant manner.","Satish Mugulavalli, Srinivas Katta",The Treasury,2500000.0,Seed
CredRight,2016,Hyderabad,Finance,"CredRight is a new age digital lending company 100% focused on Micro & Small businesses, making the process of availing loans simple",Neeraj Bansal,"9Unicorns, Spearhead Capital, Venture Catalysts",2700000.0,Unknown
Karbon Card,2019,Bangalore,Finance,"Empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.","Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha","Ramp, Rainfall Ventures, Roka Works, Y Combinator",12000000.0,Pre-Series
Auntie Fung,2015,Bangalore,Food & Beverages,Serving delectable and eclectic pan-Asian fare to all foodies in a quick-service & healthy format,"Satrajit Das, Subhradeep Bhowmik",India Angel Network,400000.0,Unknown
ePayLater,2015,Mumbai,Finance,ePaylater is a payment solution that aims to separate the experience of shopping from the hassles of payment process.,"Aurko Bhattacharya, Akshat Saxena","Responsibility, Blue Ashva Capital, Pravega Ventures",10000000.0,Series B
Fittr,2016,Pune,Healthcare,"FITTR’s mission is to reach out to 50 million people and make them fit, create jobs in the fitness industry, teach people how easy it is to stay fit and move together as a Wolfpack.","Rohit Chattopadhyay, Jitendra Chouksey, Suniel Shetty, Sonal Singh, Bala Dabbedi","Dream Capital, Elysian Park Ventures",11000000.0,Series A
Medikabazaar,2014,Mumbai,Healthcare,"Medikabazaar, India’s pioneering and largest online B2B marketspace for medical supplies and equipment.","Vivek Tiwari, Ketan Malkan","CDC Group, Creaegis",75000000.0,Series C
Nimble Growth Organics,2016,Bangalore,Agriculture,Nimble Growth Organics is the new age Agri startup which through its proprietary package of practice (PoP) cultivates organic fruits & vegetables and ensure that authentic food reaches plate.,"Rahul Saria, Nagendra Kalkuli, Abhisek Bhagchandka, Pradeep Kumar ML",Inflection Point Ventures,3500000.0,Seed
Delhivery,2011,Gurugram,Transportation & Logistics,Delhivery is a leading logistics and supply chain services company in India.,Sahil Barua,"Lee Fixel’s venture capital firm, Addition",125000000.0,Unknown
Akudo,2020,Bangalore,Finance,A Learning-First Neobank for teenagers - Enable practical financial education for child today,"Lavika Aggarwal, Sajal Khanna, Jgaveer Gandhi","Y Combinator, JAFCO Asia, Incubate Fund India, marquee angels",4200000.0,Seed
Sanctum Wealth,2016,Mumbai,Finance,Sanctum is an Indian wealth management firm which has acquired RBS India’s Private Banking business.,Shiv Gupta,The Xander Group,10000000.0,Unknown
88academics,2018,New Delhi,Education,88academics an 88tuition Pte Ltd has been established with the social objective of making quality video-based learning material available to all students.,Anil Ahuja,Aarin Capital,3000000.0,Pre-Series
Upgame,2017,Gurugram,Sports,Upgame is the leading data intelligence and practice tracking platform for golfers,Sameer Sawhney,"James Milner, Adam Lallana",3500000.0,Unknown
Sanfe,2018,New Delhi,Healthcare,India’s revolutionary feminine hygiene and period care brand that strives to build a better world for women.,"Archit Aggarwal, Harry Sehrawat","LetsVenture, Ajay Garg, Tarun Sharma",1000000.0,Series A
PredictiVu,2020,Gurugram,Services,"PredictiVu's AI-enabled dashboard integrated with India's largest, proprietary, weekly consumer purchase data, market intelligence and web insights","Ashneer Grover, Shashvat Nakrani",Kunal Sarkar,1500000.0,Pre-Seed
